n     0.01   0.02   0.05   0.10   0.20   0.30   0.50   0.70   0.80   0.90   0.95   0.98   0.99
1    6.635  5.412  3.841  2.706  1.642  1.074  0.455  0.148  0.064  0.016  0.004  0.001  0.000
2    9.210  7.824  5.991  4.605  3.219  2.408  1.386  0.713  0.446  0.211  0.103  0.040  0.020
3   11.341  9.837  7.815  6.251  4.642  3.665  2.366  1.424  1.005  0.584  0.352  0.185  0.115
4   13.277 11.668  9.488  7.779  5.989  4.878  3.357  2.195  1.649  1.064  0.711  0.429  0.297
5   15.086 13.388 11.070  9.236  7.289  6.064  4.351  3.000  2.343  1.610  1.145  0.752  0.554
6   16.812 15.033 12.592 10.645  8.558  7.231  5.348  3.828  3.070  2.204  1.635  1.134  0.872
7   18.475 16.622 14.067 12.017  9.803  8.383  6.346  4.671  3.822  2.833  2.167  1.564  1.239
8   20.090 18.168 15.507 13.362 11.030  9.524  7.344  5.527  4.594  3.490  2.733  2.032  1.646
9   21.666 19.679 16.919 14.684 12.242 10.656  8.343  6.393  5.380  4.168  3.325  2.532  2.089
10  23.209 21.161 18.307 15.987 13.442 11.781  9.342  7.267  6.179  4.865  3.940  3.059  2.558
11  24.725 22.618 19.675 17.275 14.631 12.899 10.341  8.148  6.989  5.578  4.575  3.609  3.053
12  26.217 24.054 21.026 18.549 15.812 14.011 11.340  9.034  7.807  6.304  5.226  4.178  3.571
13  27.688 25.472 22.362 19.812 16.985 15.119 12.340  9.926  8.634  7.042  5.892  4.765  4.107
14  29.141 26.873 23.685 21.064 18.151 16.222 13.339 10.821  9.467  7.790  6.571  5.368  4.660
15  30.578 28.259 24.996 22.307 19.311 17.322 14.339 11.721 10.307  8.547  7.261  5.985  5.229
16  32.000 29.633 26.296 23.542 20.465 18.418 15.339 12.624 11.152  9.312  7.962  6.614  6.812
17  33.409 30.995 27.587 24.769 21.615 19.511 16.338 13.531 12.002 10.085  8.672  7.255  6.403
18  34.805 32.346 28.869 25.989 22.760 20.601 17.338 14.440 12.857 10.865  9.390  7.906  7.015
19  36.191 33.687 30.144 27.204 23.900 21.689 18.338 15.352 13.716 11.651 10.117  8.567  7.633
20  37.566 35.020 31.410 28.412 25.038 22.775 19.337 16.266 14.578 12.443 10.851  9.237  8.260
21  38.932 36.343 32.671 29.615 26.171 23.858 20.337 17.182 15.445 13.240 11.591  9.915  8.897
22  40.289 37.659 33.924 30.813 27.301 24.939 21.337 18.101 16.314 14.041 12.338 10.600  9.542
23  41.638 38.968 35.172 32.007 28.429 26.018 22.337 19.021 17.187 14.848 13.091 11.293 10.196
24  42.980 40.270 36.415 33.196 29.553 27.096 23.337 19.943 18.062 15.659 13.848 11.992 10.856
25  44.314 41.566 37.652 34.382 30.675 28.172 24.337 20.867 18.940 16.473 14.611 12.697 11.524
26  45.642 42.856 38.885 35.563 31.795 29.246 25.336 21.792 19.820 17.292 15.379 13.409 12.198
27  46.963 44.140 40.113 36.741 32.912 30.319 26.336 22.719 20.703 18.114 16.151 14.125 12.879
28  48.278 45.419 41.337 37.916 34.027 31.391 27.336 23.647 21.588 18.939 16.928 14.847 13.565
29  49.588 46.693 42.557 39.087 35.139 32.461 28.336 24.577 22.475 19.768 17.708 15.574 14.256
30  50.892 47.962 43.773 40.256 36.250 33.530 29.336 25.508 23.364 20.599 18.493 16.306 14.953
