 0  0   4.874   4.874   4.874   4.874   4.874   1.475   1.470   1.387   1.256   1.168   0.981   0.906   0.747   0.443   0.086  -0.042  -0.104  -0.237  -0.230  -0.042   0.040  -0.042
 0  1  -1.563   5.715   5.715   5.715   2.285   3.350   2.989   2.932   2.201   1.523   0.959   0.603   0.215  -0.004   0.160   0.196   0.121   0.051  -0.064  -0.147  -0.177  -0.171
 0  2   5.047  -1.188   5.047   5.047  -0.646  -1.064  -1.460  -1.607  -1.321  -0.544   0.080   0.420   0.516   0.417   0.127   0.060   0.137   0.095   0.061   0.095   0.105   0.150
 0  3   3.091   3.091   3.091   3.091   3.091   3.091   3.091   1.485   0.936   0.143   0.061   0.033  -0.003   0.030   0.047   0.080   0.061   0.050   0.011  -0.040  -0.063  -0.129
 1  0   4.996   4.996   4.996   4.996   4.996   2.631   2.945   2.508   1.698   1.293   0.990   0.792   0.641   0.519   0.315   0.091  -0.066  -0.128  -0.249  -0.214  -0.077  -0.002
 1  1   5.771   5.771   5.771   2.313   5.771   3.008   4.477   3.359   2.621   1.847   1.185   0.768   0.513   0.311   0.129   0.041   0.003  -0.067  -0.107  -0.118  -0.142  -0.149
 1  2   4.963   4.963   4.963   4.963   1.533   1.670   1.263   0.552  -0.606  -0.870  -0.674  -0.670  -0.592  -0.226   0.110   0.255   0.294   0.321   0.308   0.271   0.207   0.125
 1  3   3.187   3.187   3.187   3.187   3.187   3.187   3.187   2.387   1.032   0.001  -0.112  -0.070  -0.142   0.014   0.037   0.065   0.109   0.043   0.012  -0.056  -0.043  -0.040
 2  0   4.986   4.986   4.986   4.986   4.986   4.986   2.412   2.314   1.723   1.075   0.704   0.294  -0.275  -0.526  -0.109   0.275   0.402   0.365   0.200  -0.042  -0.165  -0.126
 2  1   5.746   5.746   5.746   5.746   2.316   5.746   4.081   3.653   2.626   1.812   1.199   0.820   0.545   0.287   0.037  -0.087  -0.169  -0.163  -0.097  -0.044  -0.042  -0.044
 2  2   4.991   4.991   4.991   4.991   4.991   2.626   2.416   1.512   0.703   0.137  -0.474  -0.430  -0.122  -0.098  -0.105  -0.044  -0.001  -0.047  -0.015   0.144   0.207   0.159
 2  3   3.187   3.187   3.187   3.187   3.187   3.187   3.187   3.187   1.074   0.512   0.317   0.349   0.196   0.116  -0.061  -0.121  -0.087  -0.052  -0.030  -0.033  -0.042   0.002
 3  0   5.042  -1.193   0.041   0.375  -0.999  -1.280  -1.526  -1.634  -1.355  -0.614  -0.020   0.307   0.419   0.350   0.115   0.072   0.176   0.123   0.077   0.113   0.142   0.208
 3  1   5.768   5.768   5.768   5.768   1.532   1.396   1.037   0.617  -0.336  -0.672  -0.625  -0.503  -0.337  -0.161  -0.049   0.037   0.105   0.134   0.163   0.199   0.194   0.146
 3  2   5.019   5.019  -0.385   0.520  -0.937  -0.807  -0.563  -0.029  -0.193  -0.427  -0.455  -0.297  -0.124   0.012   0.069   0.062  -0.221  -0.258   0.081   0.264   0.313   0.257
 3  3   3.213   3.213   3.213   3.213   3.213   3.213   1.162   0.993   0.176  -0.259  -0.223  -0.144  -0.099  -0.085  -0.113  -0.067  -0.064  -0.008   0.050   0.090   0.072   0.116
 4  0   4.166  -2.068  -0.835  -0.423  -1.900  -1.590  -1.451  -1.283  -1.049  -0.647  -0.292  -0.054   0.091   0.142   0.128   0.064   0.004  -0.004   0.091   0.176   0.206   0.205
 4  1   4.853   4.853   4.853   4.853   0.617   1.453   1.025   0.769   0.011  -0.387  -0.424  -0.339  -0.176  -0.054  -0.001   0.024   0.041   0.078   0.084   0.068   0.061   0.049
 4  2   4.102   4.102  -0.496  -0.292  -1.659  -1.840  -1.205  -0.464  -0.462  -0.418  -0.242  -0.085   0.033   0.055   0.022  -0.006  -0.022  -0.033   0.050   0.113   0.106   0.087
 4  3   1.987   1.987   1.987   1.987   1.987   1.987   0.097   0.654   0.306   0.176  -0.036  -0.039  -0.017  -0.070  -0.060  -0.152  -0.019   0.002   0.063   0.002   0.037   0.054
 5  0   4.659   4.659   4.659   4.659   4.659   1.661   1.533   1.561   0.912   0.532   0.278   0.130   0.053   0.054   0.046   0.060   0.071   0.071   0.035  -0.051  -0.119  -0.165
 5  1   5.719   5.719   5.719   1.858   1.651   2.230   2.745   2.108   1.342   0.706   0.297   0.027  -0.120  -0.156  -0.151  -0.100  -0.035   0.013   0.023   0.018   0.036   0.057
 5  2   4.795   4.795   4.795   4.795   0.727   0.791   0.816   0.708   0.024  -0.353  -0.383  -0.351  -0.252  -0.132  -0.058   0.006   0.047   0.103   0.105   0.081   0.090   0.082
 5  3   3.180   3.180   3.180   3.180  -0.250   3.180   3.180   1.695   0.851   0.548   0.129  -0.057  -0.325  -0.352  -0.291  -0.168  -0.019   0.053   0.085   0.107   0.181   0.236
 6  0   4.760   4.760   4.760   4.760   1.330   2.395   1.757   1.884   1.265   0.766   0.506   0.348   0.272   0.236   0.176   0.109   0.057   0.009  -0.041  -0.110  -0.153  -0.190
 6  1   5.739   5.739   5.739   2.281   1.906   3.374   3.369   2.703   1.889   1.152   0.582   0.235   0.053  -0.019  -0.072  -0.085  -0.054  -0.012  -0.014  -0.034  -0.031  -0.024
 6  2   4.952   4.952   4.952   4.952   1.521   1.463   0.942   0.562  -0.357  -0.763  -0.727  -0.510  -0.296  -0.158  -0.080  -0.004   0.097   0.171   0.202   0.213   0.215   0.190
 6  3   3.156   3.156   3.156   3.156   3.156   3.156   1.862   2.031   1.137   0.708   0.327  -0.112  -0.255  -0.233  -0.197  -0.076   0.007   0.084   0.021   0.009   0.044   0.153
 7  0   4.443   4.443   4.443   4.443   0.611   1.446   1.814   1.675   0.790   0.457   0.323   0.211   0.182   0.143   0.111   0.051   0.009  -0.050  -0.079  -0.075  -0.085  -0.079
 7  1   5.292   5.292   5.292   5.292   5.292   1.998   3.114   2.714   1.747   0.957   0.470   0.192   0.045  -0.023  -0.079  -0.089  -0.047  -0.005  -0.009  -0.027  -0.028  -0.019
 7  2   4.576   4.576   4.576   4.576   0.744   1.087   0.525   0.140  -0.665  -0.926  -0.749  -0.466  -0.240  -0.074   0.013   0.078   0.143   0.184   0.201   0.163   0.169   0.154
 7  3   2.719   2.719   2.719   2.719   2.719   0.354   0.541  -1.002  -1.556   0.098   0.124  -0.157  -0.256  -0.225  -0.021   0.052   0.088   0.186   0.178   0.170   0.189   0.210
 8  0   4.079   4.079   4.079   4.079   4.079   4.079   4.079   2.473   2.498   1.790   1.373   1.066   0.912   0.659   0.419   0.257   0.080  -0.032  -0.121  -0.202  -0.235  -0.245
 8  1   5.164   5.164   5.164   5.164   5.164   2.799   5.164   5.164   3.009   2.302   1.630   1.050   0.676   0.441   0.237   0.069  -0.046  -0.106  -0.159  -0.177  -0.142  -0.094
 8  2   4.236   4.236   4.236   4.236   4.236   4.236   1.789   1.425   0.250  -0.384  -0.366  -0.263  -0.208  -0.211  -0.200  -0.134  -0.038   0.044   0.101   0.154   0.179   0.221
 8  3   2.659   2.659   2.659   2.659   2.659   2.659   2.659   2.659   2.659   1.774   1.194   0.897   0.425   0.173   0.137  -0.083  -0.107  -0.122  -0.183  -0.119  -0.060   0.054
 9  0   4.586   4.586   4.586   4.586   1.156   1.422   2.140   1.599   0.936   0.380   0.096   0.000  -0.015   0.024   0.001   0.021   0.036   0.047   0.029  -0.020  -0.069  -0.099
 9  1   5.602   5.602   5.602   5.602   2.172   2.604   3.232   2.521   1.536   0.751   0.228  -0.045  -0.140  -0.125  -0.116  -0.075  -0.031   0.002   0.014   0.015   0.035   0.052
